Date,Location,Location Level,Total Cases,Total Deaths,Total Recovered,New Cases,New Deaths,New Recovered,Province,Time Zone,Population,Longitude,Latitude,Case Fatality Rate,Case Recovered Rate
3/30/2020,Sumatera Utara,Province,7,2,10,6,0,0,Sumatera Utara,UTC+07:00,14874889,99.05196442,2.191894453,28.57%,142.86%
3/31/2020,Aceh,Province,5,0,1,0,0,0,Aceh,UTC+07:00,5247257,96.91052174,4.225614628,0.00%,20.00%
3/31/2020,Bali,Province,12,2,4,0,0,1,Bali,UTC+08:00,4216171,115.1317136,-8.369471688,16.67%,33.33%
3/31/2020,Banten,Province,79,27,184,14,2,1,Banten,UTC+07:00,10722374,106.1090043,-6.456736388,34.18%,232.91%
3/31/2020,Bengkulu,Province,1,1,0,1,1,0,Bengkulu,UTC+07:00,1999539,102.3384213,-3.533583627,100.00%,0.00%
3/31/2020,DKI Jakarta,Province,408,106,112,44,10,0,DKI Jakarta,UTC+07:00,10846145,106.8361183,-6.204698991,25.98%,27.45%
3/31/2020,Daerah Istimewa Yogyakarta,Province,11,2,4,5,0,0,Daerah Istimewa Yogyakarta,UTC+07:00,3631015,110.4448783,-7.89450185,18.18%,36.36%
3/31/2020,Indonesia,Country,1528,136,81,114,14,6,,,265185520,113.921327,-0.789275,8.90%,5.30%
3/31/2020,Jambi,Province,2,0,4,0,0,0,Jambi,UTC+07:00,3493357,102.7236404,-1.69769766,0.00%,200.00%
3/31/2020,Jawa Barat,Province,159,30,85,7,0,3,Jawa Barat,UTC+07:00,45161325,107.6037083,-6.920432083,18.87%,53.46%
3/31/2020,Jawa Tengah,Province,118,24,24,15,2,0,Jawa Tengah,UTC+07:00,36364072,110.2011149,-7.259097177,20.34%,20.34%
3/31/2020,Jawa Timur,Province,117,43,368,1,0,0,Jawa Timur,UTC+07:00,40479023,112.7329414,-7.723345579,36.75%,314.53%
3/31/2020,Kalimantan Barat,Province,8,2,3,0,0,0,Kalimantan Barat,UTC+07:00,5422814,111.1211776,-0.086474572,25.00%,37.50%
